,Cloudiness,Humidity,Lat,Name,Temperature,Wind Speed
0,1,75,43.37,Coos Bay,46.4,9.17
1,0,26,-32.25,Dubbo,84.2,9.17
2,0,30,-42.88,Hobart,71.6,23.04
3,48,99,-46.6,Bluff,61.41,17.4
4,24,63,-35.72,Batemans Bay,72.93,4.32
5,0,77,-33.92,Port Elizabeth,66.2,32.21
6,90,94,-21.21,Avarua,77.0,4.7
7,92,96,-24.79,Castro,60.96,6.4
8,90,94,-10.71,Porto Nacional,77.0,5.82
9,88,88,-34.42,Hermanus,63.34,6.55
10,90,84,69.45,Tuktoyaktuk,6.8,17.22
11,90,67,42.1,Jamestown,22.41,9.17
12,88,98,-7.38,Kawalu,73.92,2.04
13,1,31,34.64,Lompoc,48.92,4.7
14,68,62,-12.04,Lima,59.38,1.74
15,48,99,-46.6,Bluff,61.41,17.4
16,90,100,-20.33,Vila Velha,73.4,17.22
17,1,53,36.41,Taos,20.16,4.05
18,90,94,22.08,Kapaa,71.96,6.93
19,88,88,-34.42,Hermanus,63.34,6.55
20,0,100,17.96,Lazaro Cardenas,69.15,2.82
21,64,66,50.72,Solnechnyy,-14.96,3.04
22,0,36,36.56,Baiyin,28.4,4.47
23,8,88,43.95,Pregradnaya,17.31,2.19
24,92,100,-23.12,Rikitea,75.31,12.1
25,20,86,-33.59,Port Alfred,69.78,23.67
26,90,58,42.65,Albany,28.96,4.7
27,0,82,-33.01,Saldanha,62.6,16.11
28,40,65,-20.52,Souillac,82.4,10.29
29,40,65,-20.52,Souillac,82.4,10.29
30,0,30,-42.78,New Norfolk,71.6,23.04
31,32,50,47.97,Ayagoz,27.66,4.38
32,64,97,19.58,Felipe Carrillo Puerto,71.44,5.39
33,24,66,51.18,Banff,-4.84,1.3
34,8,99,18.42,Road Town,80.49,19.6
35,88,94,-0.95,Luwuk,81.66,2.04
36,76,44,-10.36,Carira,85.26,7.63
37,75,84,62.46,Yellowknife,8.6,8.05
38,0,97,5.95,Matara,82.56,3.87
39,0,98,-22.45,Gobabis,59.88,4.83
40,56,77,-34.53,Bredasdorp,68.0,8.05
41,0,30,-42.88,Hobart,71.6,23.04
42,0,100,-0.74,Puerto Ayora,71.13,7.74
43,8,64,-43.3,Rawson,63.39,17.81
44,40,65,-20.41,Mahebourg,82.4,10.29
45,92,100,-23.12,Rikitea,75.31,12.1
46,8,100,-0.6,Hithadhoo,82.11,9.35
47,75,69,21.44,Ahuimanu,75.22,5.82
48,0,30,-42.88,Hobart,71.6,23.04
49,8,100,-0.6,Hithadhoo,82.11,9.35
50,20,86,-33.59,Port Alfred,69.78,23.67
51,20,73,20.89,Kahului,71.51,6.93
52,56,77,-34.53,Bredasdorp,68.0,8.05
53,90,68,45.02,Saint Anthony,30.97,9.17
54,90,97,35.78,Statesville,33.03,3.36
55,32,72,60.75,Haines Junction,13.53,2.08
56,0,80,-53.15,Punta Arenas,41.0,21.92
57,80,94,69.38,Leningradskiy,18.84,12.59
58,68,100,-9.8,Atuona,79.54,16.62
59,20,93,40.8,Eureka,45.64,12.75
60,90,65,-54.8,Ushuaia,44.6,25.28
61,8,100,-0.6,Hithadhoo,82.11,9.35
62,44,39,10.28,Birao,69.96,13.27
63,90,67,42.1,Jamestown,22.41,9.17
64,5,37,22.89,Cabo San Lucas,64.02,3.36
65,90,77,71.29,Barrow,-0.41,19.46
66,0,100,-33.02,East London,70.81,25.12
67,76,91,77.48,Qaanaaq,24.42,11.81
68,90,65,-54.8,Ushuaia,44.6,25.28
69,5,37,22.89,Cabo San Lucas,64.02,3.36
70,0,93,-29.95,Coquimbo,55.4,3.36
71,0,92,-6.93,Saposoa,72.03,1.36
72,80,100,39.47,Yamada,41.7,20.31
73,80,94,69.38,Leningradskiy,18.84,12.59
74,0,100,-0.74,Puerto Ayora,71.13,7.74
75,0,29,31.75,Taft,35.6,2.24
76,48,34,-43.53,Christchurch,80.6,6.93
77,0,32,71.97,Khatanga,-21.58,9.08
78,1,31,34.64,Lompoc,48.92,4.7
79,40,100,50.23,Havre-Saint-Pierre,19.4,6.93
80,90,94,22.08,Kapaa,71.96,6.93
81,90,83,55.74,Thompson,-4.01,2.24
82,75,84,53.6,Belyy Yar,5.0,3.09
83,90,94,22.08,Kapaa,71.96,6.93
84,92,96,-24.79,Castro,60.96,6.4
85,92,100,-23.12,Rikitea,75.31,12.1
86,80,82,72.79,Upernavik,33.33,14.45
87,90,58,42.65,Albany,28.96,4.7
